,gender,match,same_race,age_o,race_o,decision_o,attractiveness_o,sincerity_o,intelligence_o,fun_o,ambition_o,shared_interest_o,like_o,age,field,field_cd,race,race_important,religion_important,from,goal,frequency_of_date,frequency_go_out,career,career_c,decision,attractiveness,sincerity,intelligence,fun,ambition,shared_interest,length,you_call,them_cal
0,Female,No,No,27.0,European/Caucasion-American,No,6.0,8.0,8.0,8.0,8.0,6.0,7.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,6.0,9.0,7.0,7.0,6.0,5.0,Too much,1.0,1.0
1,Female,No,No,22.0,European/Caucasion-American,No,7.0,8.0,10.0,7.0,7.0,5.0,8.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,7.0,8.0,7.0,8.0,5.0,6.0,Too much,1.0,1.0
2,Female,Yes,Yes,22.0,Asian/Pacific Islander/Asian-American,Yes,10.0,10.0,10.0,10.0,10.0,10.0,10.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,5.0,8.0,9.0,8.0,5.0,7.0,Too much,1.0,1.0
3,Female,Yes,No,23.0,European/Caucasion-American,Yes,7.0,8.0,9.0,8.0,9.0,8.0,7.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,7.0,6.0,8.0,7.0,6.0,8.0,Too much,1.0,1.0
4,Female,Yes,No,24.0,Latino/Hispanic American,Yes,8.0,7.0,9.0,6.0,9.0,7.0,8.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,5.0,6.0,7.0,7.0,6.0,6.0,Too much,1.0,1.0
5,Female,No,No,25.0,European/Caucasion-American,Yes,7.0,7.0,8.0,8.0,7.0,7.0,7.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,No,4.0,9.0,7.0,4.0,6.0,4.0,Too much,1.0,1.0
6,Female,No,No,30.0,European/Caucasion-American,No,3.0,6.0,7.0,5.0,8.0,7.0,2.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,7.0,6.0,7.0,4.0,6.0,7.0,Too much,1.0,1.0
7,Female,No,No,27.0,European/Caucasion-American,No,6.0,7.0,5.0,6.0,8.0,6.0,7.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,No,4.0,9.0,7.0,6.0,5.0,6.0,Too much,1.0,1.0
8,Female,Yes,No,28.0,European/Caucasion-American,Yes,7.0,7.0,8.0,8.0,8.0,9.0,6.5,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,7.0,6.0,8.0,9.0,8.0,8.0,Too much,1.0,1.0
9,Female,No,No,24.0,European/Caucasion-American,No,6.0,6.0,6.0,6.0,6.0,6.0,6.0,21.0,Law,Law,Asian/Pacific Islander/Asian-American,2.0,4.0,Chicago,To meet new people,Almost never,Several times a week,lawyer,,Yes,5.0,6.0,6.0,8.0,10.0,8.0,Too much,1.0,1.0
